company_id,period,year,free_cash_flow_cr,capex_cr,capex_intensity_pct,fcf_conversion_rate_pct,capital_allocation_pattern
ADANIPORTS,TTM,,,,,,FCF Negative
ADANIPOWER,Mar 2013,2013.0,-1063.0,4064.0,60.72922893006575,46.31808278867102,FCF Negative
ADANIPOWER,Mar 2014,2014.0,-1462.0,4700.0,30.66283924843424,502.40549828178695,FCF Negative
ADANIPOWER,Mar 2015,2015.0,1087.0,4737.0,25.354600438901677,-133.21078431372547,FCF Positive
ADANIPOWER,Mar 2016,2016.0,2565.0,2692.0,10.60803089411672,465.51724137931035,FCF Positive
ADANIPOWER,Mar 2017,2017.0,3513.0,1212.0,5.359037849310223,-56.899902818270164,FCF Positive
ADANIPOWER,Mar 2018,2018.0,4581.0,520.0,2.56107171000788,-217.83166904422254,FCF Positive
ADANIPOWER,Mar 2019,2019.0,4626.0,984.0,4.119912912409982,-470.1219512195122,FCF Positive
ADANIPOWER,Mar 2020,2020.0,3294.0,2304.0,8.704851141000454,-144.7912087912088,FCF Positive
ADANIPOWER,Mar 2021,2021.0,4826.0,2188.0,8.344456733152816,380.0,FCF Positive
ADANIPOWER,Mar 2022,2022.0,9459.0,774.0,2.793114647612861,192.56921824104234,FCF Positive
ADANIPOWER,Mar 2023,2023.0,6886.0,1545.0,3.984731643153741,64.19315745315559,FCF Positive
ADANIPOWER,Mar 2024,2024.0,10689.0,3481.0,6.9134674584417395,51.31787411781651,FCF Positive
ADANIPOWER,Sep 2024,2024.0,,,,,FCF Negative
ADANIPOWER,TTM,,,,,,FCF Negative
AMBUJACEM,Dec 2012,2012.0,1472.0,388.0,3.979895373884501,113.93188854489165,FCF Positive
AMBUJACEM,Dec 2013,2013.0,771.0,496.0,5.414256085580177,60.328638497652584,FCF Positive
AMBUJACEM,Dec 2014,2014.0,1219.0,456.0,4.580612757408337,81.97713517148621,FCF Positive
AMBUJACEM,Dec 2015,2015.0,1474.0,83.0,0.8795167955918195,182.42574257425744,FCF Positive
AMBUJACEM,Dec 2016,2016.0,-1355.0,4165.0,20.727580372250422,-94.49093444909344,FCF Negative
AMBUJACEM,Dec 2017,2017.0,2678.0,738.0,3.125926553433013,137.68637532133675,FCF Positive
AMBUJACEM,Dec 2018,2018.0,938.0,765.0,2.9376752044852346,31.5506222670703,FCF Positive
AMBUJACEM,Dec 2019,2019.0,3548.0,1191.0,4.394185360094451,127.48832195472512,FCF Positive
AMBUJACEM,Dec 2020,2020.0,3515.0,1317.0,5.3720019579050415,113.13163823624075,FCF Positive
